Data,close
1994-08-02,7.96495
1994-08-03,8.74827
1994-08-04,9.61583
1994-08-08,8.74827
1994-08-09,10.3255
1994-08-10,9.73955
1994-08-11,9.5406
1994-08-16,10.1365
1994-08-17,10.6452
1994-08-18,9.57821
1994-08-22,9.9385
1994-08-23,9.14459
1994-08-24,8.94633
1994-08-25,8.04057
1994-08-29,8.71046
1994-08-30,8.67275
1994-08-31,8.16311
1994-09-01,7.96495
1994-09-05,7.56854
1994-09-06,6.80422
1994-09-07,6.13414
1994-09-08,6.7193
1994-09-12,7.37048
1994-09-13,6.64378
1994-09-14,6.75701
1994-09-15,6.62487
1994-09-19,6.60607
1994-09-20,5.95479
1994-09-21,5.41693
1994-09-22,5.63389
1994-09-26,5.48295
1994-09-27,5.08674
1994-09-28,5.08674
1994-09-29,5.37922
1994-10-03,5.91707
1994-10-04,5.97379
1994-10-05,6.56826
1994-10-06,6.46453
1994-10-07,6.58716
1994-10-10,6.46453
1994-10-11,6.17195
1994-10-12,6.17195
1994-10-13,5.55847
1994-10-14,6.08702
1994-10-17,6.3701
1994-10-18,6.56826
1994-10-19,6.46453
1994-10-20,6.3513
1994-10-21,6.03041
1994-10-24,5.57738
1994-10-25,5.6528
1994-10-26,5.68121
1994-10-27,5.37922
1994-10-28,5.26589
1994-11-02,5.79444
1994-11-03,5.73772
1994-11-04,5.71892
1994-11-07,5.68121
1994-11-08,5.68121
1994-11-09,5.70001
1994-11-10,5.70001
1994-11-14,5.68121
1994-11-15,5.26589
1994-11-16,5.26589
1994-11-17,5.16216
1994-11-18,5.46415
1994-11-21,4.90739
1994-11-22,4.43545
1994-11-23,4.49207
1994-11-24,4.47317
1994-11-25,4.49207
1994-11-28,4.90739
1994-11-29,5.39803
1994-11-30,5.85105
1994-12-01,5.81324
1994-12-02,5.21878
1994-12-05,5.48295
1994-12-06,5.36032
1994-12-07,5.48295
1994-12-08,4.92619
1994-12-09,4.49207
1994-12-12,4.86958
1994-12-13,4.69023
1994-12-14,4.5959
1994-12-15,4.69023
1994-12-16,5.14325
1994-12-19,5.06783
1994-12-20,5.01112
1994-12-21,4.92619
1994-12-22,5.06783
1994-12-23,5.06783
1994-12-27,5.02992
1994-12-28,4.86958
1994-12-29,4.90739
1995-01-02,5.39803
1995-01-03,5.12445
1995-01-04,5.26589
1995-01-05,5.37922
1995-01-06,5.10554
1995-01-09,5.21878
1995-01-10,5.21878
1995-01-11,5.24708
1995-01-12,5.3037
1995-01-13,5.37922
1995-01-16,5.32261
1995-01-17,5.26589
1995-01-18,5.18097
1995-01-19,5.26589
1995-01-20,5.24708
1995-01-23,5.06783
1995-01-24,4.79406
